horizon_months,n_total,n_usable,n_insufficient,bhar_mean,bhar_median,bhar_std,bhar_skew,pct_below_zero,pct_below_minus20
3,1589,1585,4,-0.04103885035915911,-0.0676541283343477,0.5323106731735062,5.950304794910934,0.6321766561514196,0.3305993690851735
6,1589,1583,6,-0.11901176760646857,-0.14593258810902454,0.5912666162561225,4.214423091005477,0.6721415034744157,0.4421983575489577
12,1589,1565,24,-0.1852848501359644,-0.2594895704006417,0.7683948365550484,3.0776282030889295,0.7201277955271566,0.5533546325878594
24,1589,1543,46,-0.21660729668383788,-0.4443051188035425,1.5098888075949455,9.069812410126639,0.744653272845107,0.6506804925469863
