sample,model,horizon_months,ic_n_cohorts,ic_mean,ic_se,ic_tstat,ic_pval,ic_pooled,sharpe_point,sharpe_ci_lo,sharpe_ci_hi,sharpe_pval_zero
full,naive_mean,3,0,,,,,,,,,
full,naive_mean,6,0,,,,,,,,,
full,naive_mean,12,0,,,,,,,,,
full,naive_mean,24,0,,,,,,,,,
full,tabular_only,3,56,-0.012719958382908682,0.028415212823632772,-0.44764607120343525,0.6561668634564541,0.011285288363971012,-0.2357075043723008,-0.7613240760958233,0.29891547253053413,0.3768
full,tabular_only,6,56,-0.01852853530949273,0.032143602095855504,-0.5764299612171263,0.5666762402578689,-0.0025293617347593098,-0.25426785609231295,-0.7457093067698087,0.3095673408385952,0.3388
full,tabular_only,12,56,0.04108395603693999,0.03215505366573379,1.2776827077953639,0.20672807617792532,0.03195261492121105,0.38026682769717696,-0.13630280013359689,0.8257995439341541,0.138
full,tabular_only,24,56,0.06497052397260367,0.03059435334820696,2.123611610062397,0.0382156491339003,0.0499960238630761,0.35859526143490555,-0.17806285743825961,0.8206248348236059,0.1688
full,text_only,3,56,0.10140227850049587,0.0367138729703439,2.761960814714505,0.007795800910998407,0.14862896706126427,0.7604925678129373,0.25732081238907195,1.2999982032511854,0.0028
full,text_only,6,56,0.12478527018434835,0.028072337735367242,4.445132833634167,4.303037507535912e-05,0.19156226053728875,1.1017460486493815,0.5600047024599316,1.7831273829331102,0.0
full,text_only,12,56,0.07276357298444817,0.03447565760373215,2.110578246854708,0.03937009432042182,0.18694071699289197,0.41789867468342967,-0.10775276868925743,0.8997371248354572,0.1132
full,text_only,24,56,0.10206718359068716,0.03558000623269116,2.8686668271830458,0.005835948379768752,0.18635630685547744,0.4719155832559333,-0.009388544057103461,0.9278932881866325,0.0564
full,text_tabular,3,56,0.12029757215958463,0.031519985199025026,3.816549132240889,0.00034527797624761547,0.17144639073812742,0.7420496023930936,0.31306005308660706,1.276768287330973,0.0
full,text_tabular,6,56,0.05207158325580206,0.02720016279557439,1.9143849853823072,0.06077891424207227,0.1302020266547658,0.6113051058974374,0.08833523371662344,1.207843683879364,0.0208
full,text_tabular,12,56,0.057145260352905715,0.031980578280742765,1.7868738911239752,0.07946923197816735,0.1681108914875843,0.45915385677797543,-0.04571760398385277,1.0048782536398841,0.0744
full,text_tabular,24,56,0.09484936515697373,0.037365100090188126,2.5384480418367903,0.013995313948024668,0.18105456855784788,0.36192027419939443,-0.1665112673977749,0.9279638786040938,0.1736
multimodal,full_multimodal,3,28,0.24960554027009071,0.08268470094174915,3.018763295109893,0.005487126935584952,0.1964119542499281,0.9632366093309275,0.21466248284643769,2.110589534747288,0.0088
multimodal,full_multimodal,6,28,0.1325896998692077,0.08063920771488756,1.6442336628355674,0.11172321015809739,0.15403364892716323,0.6984229257032244,-0.006675413888209641,1.4538900196789657,0.0516
multimodal,full_multimodal,12,27,0.1219528995521766,0.0815523712714907,1.495393667293758,0.1468518193393724,0.23812961316320505,0.7211693112786638,-0.037326959832318096,1.551359372085058,0.0644
multimodal,full_multimodal,24,27,0.18356469159383437,0.08358618534404536,2.196112800677193,0.03720150361024932,0.2930577523919469,0.6456918123079055,-0.1131672631607401,1.8276896553565125,0.0988
multimodal,image_only,3,28,0.24886523464764382,0.08332857399760983,2.9865533838942473,0.0059381175700741196,0.1559437101348901,1.4381209572394578,0.77365308241261,2.3180669775015823,0.0
multimodal,image_only,6,28,0.10672244274833984,0.07830687947779648,1.3628744174207637,0.18418151849030817,0.19316947039948587,0.3656642004977224,-0.41158724434214206,1.070313391236856,0.3196
multimodal,image_only,12,27,0.11890643976530578,0.08148582444335582,1.4592285293494525,0.1564792652603053,0.1771247213898225,0.5897570099792864,-0.15872504657509623,1.3552285116340157,0.1212
multimodal,image_only,24,27,0.1451973656107807,0.0713234712558234,2.035758538588034,0.05208370467979595,0.17578923790761597,1.1740972046069935,0.4452188423232137,2.0814750083343165,0.002
multimodal,naive_mean,3,0,,,,,,,,,
multimodal,naive_mean,6,0,,,,,,,,,
multimodal,naive_mean,12,0,,,,,,,,,
multimodal,naive_mean,24,0,,,,,,,,,
multimodal,tabular_only,3,28,-0.07418525887862193,0.07722406052514842,-0.9606495485233273,0.3452530424157314,0.02195539532533621,0.007995556713945763,-0.8163707250871185,0.7568090845923969,0.9956
multimodal,tabular_only,6,28,0.07085670308986118,0.06879754276797523,1.0299307248346155,0.3121809564387057,-0.01135065591715372,-0.02776674220933635,-0.7638318966236036,0.7911419780028478,0.9764
multimodal,tabular_only,12,27,-0.006297680321087878,0.07647307770108004,-0.08235160020241913,0.9349978471973188,-0.0021665646466710294,0.252936559540037,-0.5303700085936544,1.0073425424408673,0.5
multimodal,tabular_only,24,27,0.016932759957105643,0.092831828253524,0.18240252589728412,0.8566816167761937,0.07075567788997393,0.37399406809424823,-0.3655304373041502,1.245986651956185,0.3192
multimodal,text_only,3,28,0.03298146006712966,0.08874611773261624,0.371638342158242,0.7130627917429684,0.17248201256115955,-0.11385561598228186,-0.768956950930301,0.823906098667873,0.8116
multimodal,text_only,6,28,0.146976953248274,0.07525817431338645,1.9529699542835,0.06126023214753884,0.2139692571354953,0.44242464218066846,-0.3016416354653126,1.2301614670105794,0.2408
multimodal,text_only,12,27,-0.022920414150659627,0.08127398443316111,-0.28201415631971555,0.7801653316951547,0.24160790644820834,-0.5102992660168809,-1.1944796181732513,0.254984230023585,0.1744
multimodal,text_only,24,27,0.13330750895245366,0.0936472964498619,1.4235062196784887,0.16647979788902,0.29437918897247134,0.4572647815663444,-0.2856342189445054,1.208204362498027,0.2124
multimodal,text_tabular,3,28,0.08627050542212834,0.08391575925086306,1.0280608337729014,0.31304364578652155,0.1930930508718752,-0.07479222400421023,-0.7346519741988737,0.8949162790293599,0.88
multimodal,text_tabular,6,28,0.035631946865684556,0.08404769006048943,0.42394915125020227,0.6749615555348423,0.1896254766666856,0.07062175931045397,-0.737106071959195,0.8278508106746034,0.8432
multimodal,text_tabular,12,27,0.03792275832190191,0.09038579138647608,0.4195654841340038,0.6782495262123414,0.27880430194486494,-0.2730931896042323,-0.9365562023023498,0.6125944738786331,0.484
multimodal,text_tabular,24,27,0.1574814937150514,0.1044519632163304,1.5076929994019506,0.14368895969973172,0.3100628170665489,0.741040746456647,-0.013194866969454228,1.6262577873219244,0.0544
