model,horizon_months,coef_no_fe,tstat_no_fe,pval_no_fe,r2_no_fe,coef_with_fe,tstat_with_fe,pval_with_fe,r2_with_fe,n_obs,n_sic2
image_only,3,0.24268103690346277,1.7603569343764363,0.07933023584586753,0.009865863793897756,0.21354966219077928,1.4012794329338425,0.16228746732206092,0.06307768613784681,313,44
image_only,6,0.3344690899401816,2.499135680693586,0.01296671220687574,0.019749452916772547,0.2991719689989758,2.049373070807918,0.04140276313270527,0.11955349622037159,312,44
image_only,12,0.3624569291531534,2.6457654117878358,0.00857045050078658,0.022293225958029628,0.3520907149390433,2.3974065964191555,0.01720689304517046,0.1412671654306228,309,44
image_only,24,0.32560850171472977,2.3130781082281353,0.021385628293596023,0.017295376180702204,0.24282334540161968,1.6422862444115605,0.10173495158605883,0.18303532360281582,306,44
full_multimodal,3,0.2224927715049025,1.8279848400813659,0.06850971656332666,0.010630248541162901,0.20451774837735598,1.4874661164857808,0.1380673435197298,0.063940957862618,313,44
full_multimodal,6,0.09898323733709452,0.9669156775126218,0.3343399124791166,0.003006821844253049,0.11515282477376741,1.0214001848784906,0.3079894368781957,0.10918472018303327,312,44
full_multimodal,12,0.32004257707543066,2.9098053549873377,0.0038808265205119265,0.02683947317514246,0.28697693146480274,2.4689262116380593,0.014185511759225595,0.1423737065095808,309,44
full_multimodal,24,0.397769643856807,3.592015559720693,0.00038254471219931717,0.04071464471207342,0.30023001056955523,2.5339502845314144,0.011864007146095083,0.1944114462752944,306,44
